Kraj,Okres,Hlasy,Procenta,KandidatkaNazev,KandidatkaCislo,URL
2,2105,19,0.04,Liberálové.CZ,2,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,3374,8.87,Věci veřejné,4,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,27,0.07,Konzervativní strana,5,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,4899,12.88,Komunistická str.Čech a Moravy,6,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,49,0.12,Koruna Česká (monarch.strana),7,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,10711,28.17,Česká str.sociálně demokrat.,9,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,62,0.16,Sdruž.pro rep.-Republ.str.Čsl.,11,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,1650,4.33,Strana Práv Občanů ZEMANOVCI,13,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,29,0.07,STOP,14,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,4954,13.02,TOP 09,15,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,987,2.59,Křesť.demokr.unie-Čs.str.lid.,17,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,232,0.61,Volte Pr.Blok www.cibulka.net,18,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,27,0.07,Česká str.národ.socialistická,19,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,619,1.62,Strana zelených,20,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,1613,4.24,Suverenita-blok J.Bobošíkové,21,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,295,0.77,Česká pirátská strana,23,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,385,1.01,Dělnic.str.sociální spravedl.,24,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,242,0.63,Strana svobodných občanů,25,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2105,7686,20.21,Občanská demokratická strana,26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2106,132,0.27,OBČANÉ.CZ,1,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,19,0.03,Liberálové.CZ,2,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,5725,11.88,Věci veřejné,4,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,22,0.04,Konzervativní strana,5,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,5497,11.40,Komunistická str.Čech a Moravy,6,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,59,0.12,Koruna Česká (monarch.strana),7,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,9484,19.68,Česká str.sociálně demokrat.,9,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,105,0.21,Sdruž.pro rep.-Republ.str.Čsl.,11,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,1892,3.92,Strana Práv Občanů ZEMANOVCI,13,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,30,0.06,STOP,14,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,7813,16.21,TOP 09,15,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,729,1.51,Křesť.demokr.unie-Čs.str.lid.,17,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,246,0.51,Volte Pr.Blok www.cibulka.net,18,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,28,0.05,Česká str.národ.socialistická,19,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,1097,2.27,Strana zelených,20,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,2380,4.94,Suverenita-blok J.Bobošíkové,21,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,386,0.80,Česká pirátská strana,23,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,629,1.30,Dělnic.str.sociální spravedl.,24,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,389,0.80,Strana svobodných občanů,25,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2106,11516,23.90,Občanská demokratická strana,26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2107,118,0.19,OBČANÉ.CZ,1,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2107,30,0.05,Liberálové.CZ,2,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2107,6902,11.61,Věci veřejné,4,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2107,19,0.03,Konzervativní strana,5,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2107,6190,10.41,Komunistická str.Čech a Moravy,6,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2107,80,0.13,Koruna Česká (monarch.strana),7,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2107,12777,21.50,Česká str.sociálně demokrat.,9,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2107,251,0.42,Sdruž.pro rep.-Republ.str.Čsl.,11,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2107,1838,3.09,Strana Práv Občanů ZEMANOVCI,13,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
